id,title,description,availability,condition,price,link,image_link,brand
104391,Absorvente com Abas Suave Sempre Livre Adapt Pacote 32 Unidades Leve Mais Pague Menos,Absorvente com Abas Suave Sempre Livre Adapt Pacote 32 Unidades Leve Mais Pague Menos,in stock,new,21.49 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-f8f4890b34984b4b916534ec1442f417.png,Sempre Livre
81338,Absorvente com Abas Suave Sempre Livre Adapt Plus Pacote 32 Unidades Leve Mais Pague Menos,Absorvente com Abas Suave Sempre Livre Adapt Plus Pacote 32 Unidades Leve Mais Pague Menos,in stock,new,26.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-760729cbfba24c0885b37d41ab6c99b8.png,Sempre Livre
71532,Absorvente com Abas Suave Sempre Livre Conforto Noturno Pacote 32 Unidades Leve Mais Pague Menos,Absorvente com Abas Suave Sempre Livre Conforto Noturno Pacote 32 Unidades Leve Mais Pague Menos,in stock,new,39.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-3f0d22b4fc7f4956a78782534f20884a.png,Sempre Livre
101198,Absorvente Geriátrico Adultcare Premium Unissex 20 Unidades,Absorvente Geriátrico Adultcare Premium Unissex 20 Unidades,in stock,new,28.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-56b0ec22bff3424c97b18d4ffa9b0187.jpg,Adultcare
114618,Absorvente Geriátrico Dry Mastersoft 20 Unidades,Absorvente Geriátrico Dry Mastersoft 20 Unidades,in stock,new,21.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-e44c0f64b886473ba6f9c0fa08b66992.png,DryMastersoft
101193,Absorvente Geriátrico Sensaty Tamanho Único C.20 Unid.,Absorvente Geriátrico Sensaty Tamanho Único C.20 Unid.,in stock,new,21.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-19a6e40efddc45d6b71be63cce1f738b.jpeg,Sensaty
43055,Absorvente Interno Intimus Médio Caixa 8 Unidades,Absorvente Interno Intimus Médio Caixa 8 Unidades,in stock,new,12.49 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-39544f085fcb4678aa5bb578fc6dfa67.jpeg,Intimus
62538,Absorvente Interno Intimus Médio Caixa Leve 16 Pague 15 Unidades,Absorvente Interno Intimus Médio Caixa Leve 16 Pague 15 Unidades,in stock,new,21.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-524d20f6844340d6ba9651a35088f4d7.jpeg,Intimus
43056,Absorvente Interno Intimus Super Caixa 8 Unidades,Absorvente Interno Intimus Super Caixa 8 Unidades,in stock,new,12.49 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-59beebb0005a4810ac882811d1300315.jpeg,Intimus
62539,Absorvente Interno Intimus Super Caixa Leve 16 Pague 15 Unidades,Absorvente Interno Intimus Super Caixa Leve 16 Pague 15 Unidades,in stock,new,21.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-3fa8dd0ae77f49bda68222f080c9c832.jpeg,Intimus
92093,Absorvente Interno O.B. Sempre Livre ProComfort Médio Caixa 16 Unidades Leve Mais Pague Menos,Absorvente Interno O.B. Sempre Livre ProComfort Médio Caixa 16 Unidades Leve Mais Pague Menos,in stock,new,26.49 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-1ac395ac19df42729b4f5dbe0d612004.png,O.B. Sempre Livre
92094,Absorvente Interno ProComfort O.B. Super Caixa 16 Unidades,Absorvente Interno ProComfort O.B. Super Caixa 16 Unidades,in stock,new,26.49 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-6c789527a0d14174847a6036f41d6599.jpeg,O.B.
107339,Absorvente Intimus Not Suave C/Abas Extra Protecao 45Un,Absorvente Intimus Not Suave C/Abas Extra Protecao 45Un,in stock,new,38.79 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-1653956b8ae641f6a6477508ef4d2bae.jpeg,
101939,Acetona Farmax Frasco 100ml,Acetona Farmax Frasco 100ml,in stock,new,6.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-0bbb0f058a194340b75c99643219eb0b.jpeg,Farmax
67595,Acetona Lutex 100Ml,Acetona Lutex 100Ml,in stock,new,15.29 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-ab8edef24460476bb82010981a893b7b.png,
71892,Acetona Lutex 500Ml,Acetona Lutex 500Ml,in stock,new,48.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-63801fbdacef4f61a086f361706efc2d.png,
76192,Achocolatado Toddynho 200Ml,Achocolatado Toddynho 200Ml,in stock,new,5.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-751bf07e99304d2bb4fab46e1befd6a2.jpeg,
71559,Agua Mineral C/Gas Devito 500Ml,Agua Mineral C/Gas Devito 500Ml,in stock,new,4.49 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-7599880c2054443383df4080d95208a1.png,
13361,Agua Mineral Devito 500Ml,Agua Mineral Devito 500Ml,in stock,new,3.49 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-2d130182fa8f4571ba0f0fda0480eeed.png,
14674,Agua Oxigenada 10Vol Adv 100Ml,Agua Oxigenada 10Vol Adv 100Ml,in stock,new,5.49 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-b840c2de7dc94e3899b069ca12007407.jpeg,
3590,Água Oxigenada Beira Alta 90Ml Vl40,Água Oxigenada Beira Alta 90Ml Vl40,in stock,new,4.29 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-a73a0d6d6fe84b459e6c344495e1630d.jpeg,Beira Alta
108437,Álcool 70% Rioquímica 100ml,Álcool 70% Rioquímica 100ml,in stock,new,6.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-9552a75a0a454662ac30f351a4585138.webp,Rioquimica
98410,Álcool Gel 70° 440G Prolink,Álcool Gel 70° 440G Prolink,in stock,new,12.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-2a73501a99fe410a851def57a60e54a5.png,Prolink
89577,Algodão APOLO Caixa 25g,Algodão APOLO Caixa 25g,in stock,new,3.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-3befce5f90df4adfb826e62a208932f1.jpeg,Apolo
95666,Algodao Bem Care Discos 100Un,Algodao Bem Care Discos 100Un,in stock,new,13.29 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-6a81c35b849945f58ca418d5dfb8f695.png,
95617,Algodao Bem Care Quadrado 50Un,Algodao Bem Care Quadrado 50Un,in stock,new,20.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-0d8a9aed53154c1cade5f21380a288de.png,
2210,Alicate de Cutícula Classic 522 Mundial,Alicate de Cutícula Classic 522 Mundial,in stock,new,27.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-33aeb47273064e0c92af7f6c67900bad.jpeg,Mundial
2815,Antissinais Dia Pele Normal a Seca FPS 30 Nivea Q10 Plus Caixa 52g,Antissinais Dia Pele Normal a Seca FPS 30 Nivea Q10 Plus Caixa 52g,in stock,new,51.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-bc0e19bea43d4359b0fcb2e697d2b693.png,Nivea
92782,Antitranspirante Aerossol Dove Men+Care Invisible Dry 250ml Spray Leve Mais Pague Menos,Antitranspirante Aerossol Dove Men+Care Invisible Dry 250ml Spray Leve Mais Pague Menos,in stock,new,28.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-ab74352b871b4680af7234f0777206b8.png,Dove
92871,Antitranspirante Aerossol Dove Men+Care Proteção Total 250ml Spray Leve Mais Pague Menos,Antitranspirante Aerossol Dove Men+Care Proteção Total 250ml Spray Leve Mais Pague Menos,in stock,new,28.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-33200ad1fa3946cebefdf95aefb2fdfc.png,Dove
67936,Antitranspirante Aerossol Frutas Vermelhas Monange 150ml,Antitranspirante Aerossol Frutas Vermelhas Monange 150ml,in stock,new,11.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-bef1bb6547e243a18260963078a7ff5e.jpeg,Monange
