id,title,description,availability,condition,price,link,image_link,brand
91547,Absorvente com Abas Seca Always Pequeno Pacote 16 Unidades Grátis 2 Absorventes,Absorvente com Abas Seca Always Pequeno Pacote 16 Unidades Grátis 2 Absorventes,in stock,new,10.49 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-c3b6d5a423914b4696665cdcc3ee56b5.jpeg,Always
85529,Absorvente com Abas Seca Intimus Noturno Pacote 30 Unidades Leve Mais Pague Menos,Absorvente com Abas Seca Intimus Noturno Pacote 30 Unidades Leve Mais Pague Menos,in stock,new,25.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-29b0e07267e746cabbf2b78f3cb4f820.jpeg,Intimus
93469,Absorvente com Abas Seca Intimus Noturno Pacote 8 Unidades,Absorvente com Abas Seca Intimus Noturno Pacote 8 Unidades,in stock,new,10.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-3fbc886bf43f4efe93a621929ed65b4e.jpeg,Intimus
81483,Absorvente com Abas Seca Intimus Tripla Proteção Pacote 32 Unidades Leve Mais Pague Menos,Absorvente com Abas Seca Intimus Tripla Proteção Pacote 32 Unidades Leve Mais Pague Menos,in stock,new,19.49 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-543b9cb654414a009a6fbe3cea78b503.jpeg,Intimus
3531,Absorvente com Abas Seca Intimus Tripla Proteção Pacote 8 Unidades,Absorvente com Abas Seca Intimus Tripla Proteção Pacote 8 Unidades,in stock,new,6.29 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-52b151a929d04f008a3ba933b6c3e5dd.jpeg,Intimus
59051,Absorvente com Abas Seca Intimus Tripla Proteção Pacote Leve 16 Pague 14 Unidades,Absorvente com Abas Seca Intimus Tripla Proteção Pacote Leve 16 Pague 14 Unidades,in stock,new,10.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-f4dcd8b2548c4db2a6a7855a032883b8.jpeg,Intimus
81410,Absorvente com Abas Suave Adapt Plus Sempre Livre Pacote 16 Unidades Leve Mais Pague Menos,Absorvente com Abas Suave Adapt Plus Sempre Livre Pacote 16 Unidades Leve Mais Pague Menos,in stock,new,15.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-e5988a83c1024d648f106544ac02805a.jpeg,Sempre Livre
109963,Absorvente com Abas Suave Always G Pacote 16 Unidades Grátis 2 Unidades,Absorvente com Abas Suave Always G Pacote 16 Unidades Grátis 2 Unidades,in stock,new,18.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-b02a10fb2d554a43bc30f611058fd789.png,Always
84896,Absorvente com Abas Suave Always G Pacote 8 Unidades,Absorvente com Abas Suave Always G Pacote 8 Unidades,in stock,new,11.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-efb15ef5ba394bf2a7b2b6236909caf1.png,Always
108724,Absorvente com Abas Suave Always Médio Pacote 8 Unidades,Absorvente com Abas Suave Always Médio Pacote 8 Unidades,in stock,new,7.29 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-d3cc89e7409e4d58822b5ebe27b6ce7f.jpeg,Always
101973,Absorvente com Abas Suave Always Noites Tranquilas XG Pacote 8 Unidades,Absorvente com Abas Suave Always Noites Tranquilas XG Pacote 8 Unidades,in stock,new,14.29 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-69f17123a02a4b1fa4a40a89abba6a38.png,Always
106536,Absorvente com Abas Suave Always Noturno Grande Pacote 10 Unidades Grátis 2 Absorventes,Absorvente com Abas Suave Always Noturno Grande Pacote 10 Unidades Grátis 2 Absorventes,in stock,new,12.49 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-5d20e764cd994bc280ac4f076fd8261f.jpeg,Always
91548,Absorvente com Abas Suave Always P Pacote 16 Unidades Grátis 2 Unidades,Absorvente com Abas Suave Always P Pacote 16 Unidades Grátis 2 Unidades,in stock,new,10.49 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-75327e38b999423dac07fe58c3d34556.png,Always
84217,Absorvente com Abas Suave Always P Pacote 32 Unidades Grátis 4 Unidades,Absorvente com Abas Suave Always P Pacote 32 Unidades Grátis 4 Unidades,in stock,new,22.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-359afc5e2c534096af8f0687d590c56b.jpeg,Always
101963,Absorvente com Abas Suave Always P Pacote 8 Unidades,Absorvente com Abas Suave Always P Pacote 8 Unidades,in stock,new,5.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-9c8f79dd5c694ca289154bbeb22bfedc.png,Always
85800,Absorvente com Abas Suave Intimus Noturno Pacote 16 Unidades Leve Mais Pague Menos,Absorvente com Abas Suave Intimus Noturno Pacote 16 Unidades Leve Mais Pague Menos,in stock,new,19.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-8d3702f7d95a44fea5be18c464381a79.jpeg,Intimus
85528,Absorvente com Abas Suave Intimus Noturno Pacote 30 Unidades Leve Mais Pague Menos,Absorvente com Abas Suave Intimus Noturno Pacote 30 Unidades Leve Mais Pague Menos,in stock,new,25.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-d911dcef91ca43c598521dfa19b3e855.jpeg,Intimus
3775,Absorvente com Abas Suave Intimus Noturno Pacote 8 Unidades,Absorvente com Abas Suave Intimus Noturno Pacote 8 Unidades,in stock,new,10.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-6634c02e2a76409dad46f3781b976ca6.jpeg,Intimus
53634,Absorvente com Abas Suave Sempre Livre Adapt Pacote 16 Unidades Leve Mais Pague Menos,Absorvente com Abas Suave Sempre Livre Adapt Pacote 16 Unidades Leve Mais Pague Menos,in stock,new,13.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-ccd574377dc4401ea0f12159251a5c23.png,Sempre Livre
104391,Absorvente com Abas Suave Sempre Livre Adapt Pacote 32 Unidades Leve Mais Pague Menos,Absorvente com Abas Suave Sempre Livre Adapt Pacote 32 Unidades Leve Mais Pague Menos,in stock,new,21.49 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-f8f4890b34984b4b916534ec1442f417.png,Sempre Livre
5152,Absorvente com Abas Suave Sempre Livre Adapt Pacote 8 Unidades,Absorvente com Abas Suave Sempre Livre Adapt Pacote 8 Unidades,in stock,new,7.29 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-0a8d019824284fd4ae445b484dc4cc23.png,Sempre Livre
81338,Absorvente com Abas Suave Sempre Livre Adapt Plus Pacote 32 Unidades Leve Mais Pague Menos,Absorvente com Abas Suave Sempre Livre Adapt Plus Pacote 32 Unidades Leve Mais Pague Menos,in stock,new,26.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-760729cbfba24c0885b37d41ab6c99b8.png,Sempre Livre
3440,Absorvente com Abas Suave Sempre Livre Adapt Plus Pacote 8 Unidades,Absorvente com Abas Suave Sempre Livre Adapt Plus Pacote 8 Unidades,in stock,new,8.49 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-bb83fb8d0b554aa08dda5b87de5f8737.png,Sempre Livre
71532,Absorvente com Abas Suave Sempre Livre Conforto Noturno Pacote 32 Unidades Leve Mais Pague Menos,Absorvente com Abas Suave Sempre Livre Conforto Noturno Pacote 32 Unidades Leve Mais Pague Menos,in stock,new,39.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-3f0d22b4fc7f4956a78782534f20884a.png,Sempre Livre
110943,Absorvente com Abas Total Protect Seca Sym Pacote 16 Unidades Leve Mais Pague Menos,Absorvente com Abas Total Protect Seca Sym Pacote 16 Unidades Leve Mais Pague Menos,in stock,new,8.49 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-4b46d6b77df74be0a3cc879119973059.jpeg,Sym
97772,Absorvente com Abas Total Protect Seca Sym Pacote 30 Unidades Leve Mais Pague Menos,Absorvente com Abas Total Protect Seca Sym Pacote 30 Unidades Leve Mais Pague Menos,in stock,new,15.49 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-a70bc580da954fd9a35889beded93bdd.jpeg,Sym
110939,Absorvente com Abas Total Protect Seca Sym Pacote 8 Unidades,Absorvente com Abas Total Protect Seca Sym Pacote 8 Unidades,in stock,new,4.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-e87f417febe54cdfa76ddc41095592ce.jpeg,Sym
